produto_comercial,empresa,ingrediente_2,ingrediente
Ricer,Dow Agrosciences Industrial Ltda. - Sao Paulo,Penoxsulam (sulfonanilida triazolopirimidina),penoxsulam (sulfonanilida triazolopirimidina)
Ridover,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,glifosato (glicina substituida),glifosato (glicina substituida)
Rodeo,Monsanto do Brasil Ltda - Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Rometsol 600 WG,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,metsulfurom-metilico (sulfonilurea),metsulfurom-metilico (sulfonilurea)
Ronat-A,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Ronstar 250 BR,Bayer S.A. - Sao Paulo/ SP,oxadiazona (oxadiazolona),oxadiazona (oxadiazolona)
Ronstar SC,Bayer S.A. - Sao Paulo/ SP,oxadiazona (oxadiazolona),oxadiazona (oxadiazolona)
Rouker,Albaugh Agro Brasil Ltda.- Sao Paulo,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Roundup Original,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Roundup Original DI,Monsanto do Brasil Ltda - Sao Paulo,Glifosato-Sal de Di-amônio (glicina substituida),glifosato-sal de di-amônio (glicina substituida)
Roundup Original Mais,Monsanto do Brasil Ltda - Sao Paulo,Glifosato-Sal de Di-amônio (glicina substituida),glifosato-sal de di-amônio (glicina substituida)
Roundup Ready,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Roundup Ready Milho,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Roundup Transorb,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Roundup Transorb R,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de potássio (glicina substituida),glifosato-sal de potássio (glicina substituida)
Roundup Ultra,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Roundup WG,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Ruget,Bayer S.A. - Sao Paulo/ SP,tidiazurom (ureia),tidiazurom (ureia)
Runner,Dow Agrosciences Industrial Ltda. - Sao Paulo,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Rustler,Monsanto do Brasil Ltda - Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Rustler WG,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Samor-Gat,FMC Química do Brasil Ltda. - Campinas,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Sanson 40 SC,ISK Biosciences do Brasil Defensivos Agricolas Ltda,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Sanson AZ,ISK Biosciences do Brasil Defensivos Agricolas Ltda,Atrazina (triazina) and nicossulfurom (sulfonilurea),atrazina (triazina) and nicossulfurom (sulfonilurea)
Sanson Evo,ISK Biosciences do Brasil Defensivos Agricolas Ltda,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Satir-GAT,FMC Química do Brasil Ltda. - Campinas,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Saudaris,Basf S.A. – Sao Paulo,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Savana,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona) and clomazona (isoxazolidinona),carfentrazona-etilica (triazolona) and clomazona (isoxazolidinona)
Scorpion,Dow Agrosciences Industrial Ltda. - Sao Paulo,flumetsulam (sulfonanilida triazolopirimidina),flumetsulam (sulfonanilida triazolopirimidina)
Scout,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Sector,Dow Agrosciences Industrial Ltda. - Sao Paulo,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Seculo,Prentiss Química Ltda. - Campo Largo/PR,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Select 240 EC,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Select One Pack,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Selefen,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona) and fenoxaprope-P-etilico (Acido ariloxifenoxipropionico),cletodim (oxima ciclohexanodiona) and fenoxaprope-p-etilico (acido ariloxifenoxipropionico)
Seletrina,Agro Import do Brasil Ltda.,Ametrina (triazina),ametrina (triazina)
Selezione Nortox,Nortox S.A. - Arapongas,Atrazina (triazina) and nicossulfurom (sulfonilurea),atrazina (triazina) and nicossulfurom (sulfonilurea)
Sempra,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,halossulfurom-metilico (sulfonilurea),halossulfurom-metilico (sulfonilurea)
Sencor 480,Bayer S.A. - Sao Paulo/ SP,metribuzim (triazinona),metribuzim (triazinona)
Senior WG,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Sequence,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,glifosato (glicina substituida) and S_metolacloro (cloroacetanilida),glifosato (glicina substituida) and s_metolacloro (cloroacetanilida)
SeveroBR,Ouro Fino Química S.A. - Uberaba,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Shadow,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Shadow 480 SL,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Silverado,Adama Brasil S.A. - Londrina,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Simatop Rainbow,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Simetrex SC,Oxon Brasil Defensivos Agricolas Ltda.,Ametrina (triazina) and simazina (triazina),ametrina (triazina) and simazina (triazina)
Simtrac 500,Albaugh Agro Brasil Ltda.- Sao Paulo,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Sinerge EC,FMC Química do Brasil Ltda. - Campinas,Ametrina (triazina) and clomazona (isoxazolidinona),ametrina (triazina) and clomazona (isoxazolidinona)
Siptran,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina),atrazina (triazina)
Siptran 500 SC,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina),atrazina (triazina)
Siptran 800 WP,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina),atrazina (triazina)
Siptroil,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina),atrazina (triazina)
Sirius 250 SC,Iharabras S.A. Indústria Químicas - Sorocaba,pirazossulfurom-etilico (sulfonilurea),pirazossulfurom-etilico (sulfonilurea)
Sirtaki 500 EC,Oxon Brasil Defensivos Agricolas Ltda.,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Sirtaki Gold,Oxon Brasil Defensivos Agricolas Ltda.,Ametrina (triazina) and clomazona (isoxazolidinona),ametrina (triazina) and clomazona (isoxazolidinona)
Sniper,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Soberan,Bayer S.A. - Sao Paulo/ SP,Tembotriona (Tricetona),tembotriona (tricetona)
Soccer SC,Bayer S.A. - Sao Paulo/ SP,metribuzim (triazinona),metribuzim (triazinona)
Solara 500,FMC Química do Brasil Ltda. - Campinas,sulfentrazona (triazolona),sulfentrazona (triazolona)
Soldier,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,glifosato (glicina substituida),glifosato (glicina substituida)
Sonnis,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,hexazinona (triazinona) and S_metolacloro (cloroacetanilida),hexazinona (triazinona) and s_metolacloro (cloroacetanilida)
Soyaclean Xtra,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,imazetapir (imidazolinona),imazetapir (imidazolinona)
Soyaguard Xtra,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,imazetapir (imidazolinona),imazetapir (imidazolinona)
Soyaquim 700 WG,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,imazaquim (imidazolinona),imazaquim (imidazolinona)
Soyatop Xtra,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,imazetapir (imidazolinona),imazetapir (imidazolinona)
Soyvance,Basf S.A. – Sao Paulo,imazapique (imidazolinona) and imazapir (imidazolinona),imazapique (imidazolinona) and imazapir (imidazolinona)
Spada WG,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,propanil (anilida),propanil (anilida)
Spider 840 WG,Dow Agrosciences Industrial Ltda. - Sao Paulo,diclosulam (sulfonanilida triazolopirimidina),diclosulam (sulfonanilida triazolopirimidina)
Spike,Proventis Lifescience Defensivos Agricolas Ltda,tebutiurom (ureia),tebutiurom (ureia)
Spinner,Sipcam Nichino Brasil S.A. - Uberaba/MG,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Spotlight,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Spraykill,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Sprayquat,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Staff,Ouro Fino Química S.A. - Uberaba,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Stam 360,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,propanil (anilida),propanil (anilida)
Stam 480,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,propanil (anilida),propanil (anilida)
Stam 800 WG,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,propanil (anilida),propanil (anilida)
Stampir BR,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,propanil (anilida) and Triclopir-butotilico (Acido piridiniloxialcanoico),propanil (anilida) and triclopir-butotilico (acido piridiniloxialcanoico)
Staple 280 CS,Iharabras S.A. Indústria Químicas - Sorocaba,Piritiobaque-sodico (análogo de Acido pirimidiniloxibenzóico),piritiobaque-sodico (análogo de acido pirimidiniloxibenzóico)
Starane 200,Dow Agrosciences Industrial Ltda. - Sao Paulo,Fluroxipir-meptilico (Acido piridiniloxialcanoico),fluroxipir-meptilico (acido piridiniloxialcanoico)
Starice,Bayer S.A. - Sao Paulo/ SP,fenoxaprope-P-etilico (Acido ariloxifenoxipropionico),fenoxaprope-p-etilico (acido ariloxifenoxipropionico)
Station 240 SL,CHDS do Brasil Comércio de Insumos Agricolas Ltda,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Stinger,Monsanto do Brasil Ltda - Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Stinger WG,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Stone,FMC Química do Brasil Ltda. - Campinas,diurom (ureia) and sulfentrazona (triazolona),diurom (ureia) and sulfentrazona (triazolona)
Stopper,Dow Agrosciences Industrial Ltda. - Sao Paulo,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram-triisopropanolamina (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram-triisopropanolamina (acido piridinocarboxilico)
Stoy 40 SC,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Style,Du_Pont do Brasil S.A. - Barueri (Alphaville),hexazinona (triazinona),hexazinona (triazinona)
Sugarina,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Ametrina (triazina),ametrina (triazina)
Sulfentrazone 500 SC Tagros,Tagros Brasil Comércio de Produtos Químicos Ltda.,sulfentrazona (triazolona),sulfentrazona (triazolona)
Sumisoya,Sumitomo Chemical do Brasil Representações Ltda.,flumioxazina (ciclohexenodicarboximida),flumioxazina (ciclohexenodicarboximida)
Sumisoya 500 SC,Sumitomo Chemical do Brasil Representações Ltda.,flumioxazina (ciclohexenodicarboximida),flumioxazina (ciclohexenodicarboximida)
Sumô,Pilarquim Br Comercial Ltda.- Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Sumyzin 500,Sumitomo Chemical do Brasil Representações Ltda.,flumioxazina (ciclohexenodicarboximida),flumioxazina (ciclohexenodicarboximida)
Sumyzin 500 SC,Sumitomo Chemical do Brasil Representações Ltda.,flumioxazina (ciclohexenodicarboximida),flumioxazina (ciclohexenodicarboximida)
Sunward,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,isoxaflutol (isoxazol),isoxaflutol (isoxazol)
Surpass,Dow Agrosciences Industrial Ltda. - Sao Paulo,Acetocloro (cloroacetanilida),acetocloro (cloroacetanilida)
Sweep Off,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Sweeper,Basf S.A. – Sao Paulo,imazamoxi (imidazolinona),imazamoxi (imidazolinona)
Synero,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D-triisopropanolamina (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d-triisopropanolamina (acido ariloxialcanoico)"
Synero Ultra,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d (acido ariloxialcanoico)"
Targa 50 EC,Nissan Chemical do Brasil Representação de Produtos Agroquimicos Ltda.,quizalofope-P-etilico (Acido ariloxifenoxipropionico),quizalofope-p-etilico (acido ariloxifenoxipropionico)
Targa Max,Iharabras S.A. Indústria Químicas - Sorocaba,quizalofope-P-etilico (Acido ariloxifenoxipropionico),quizalofope-p-etilico (acido ariloxifenoxipropionico)
Teardown,Sinon do Brasil Ltda. - Porto Alegre /RS.,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Tecnup,Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,glifosato (glicina substituida),glifosato (glicina substituida)
Tempest,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Templo,Ouro Fino Química S.A. - Uberaba,glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida),glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida)
Tenace,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,metribuzim (triazinona),metribuzim (triazinona)
Tento 867 SL,Dow Agrosciences Industrial Ltda. - Sao Paulo,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Texas,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Thunder,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,amicarbazona (triazolinona),amicarbazona (triazolinona)
Tibet,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Tocha,Stockton Agrimor do Brasil Ltda.,Paraquate (bipiridílio) and dicloreto de paraquate (bipiridílio),paraquate (bipiridílio) and dicloreto de paraquate (bipiridílio)
Toco,Stockton Agrimor do Brasil Ltda.,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Togar TB,Dow Agrosciences Industrial Ltda. - Sao Paulo,picloram (acido piridinocarboxilico) and Triclopir-butotilico (Acido piridiniloxialcanoico),picloram (acido piridinocarboxilico) and triclopir-butotilico (acido piridiniloxialcanoico)
Token,BRA Defensivos Agricolas Ltda. (Piracicaba),hexazinona (triazinona),hexazinona (triazinona)
Topatudo,Agro Import do Brasil Ltda.,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Topgan,Adama Brasil S.A. - Londrina,imazaquim (imidazolinona),imazaquim (imidazolinona)
Topgan 150,Adama Brasil S.A. - Londrina,imazaquim (imidazolinona),imazaquim (imidazolinona)
Topgan WG,Adama Brasil S.A. - Londrina,imazaquim (imidazolinona),imazaquim (imidazolinona)
Topik 240 EC,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Clodinafope-Propargil (Acido ariloxifenoxipropionico),clodinafope-propargil (acido ariloxifenoxipropionico)
Topinam,Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,Triclopir-butotilico (Acido piridiniloxialcanoico) and Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico) and triclopir-butotilico (acido piridiniloxialcanoico)
Tordon,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram-trietanolamina (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram-trietanolamina (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Tordon Ultra,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d (acido ariloxialcanoico)"
Tordon XT,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D-triisopropanolamina (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d-triisopropanolamina (acido ariloxialcanoico)"
Totril,Bayer S.A. - Sao Paulo/ SP,ioxinil (benzonitrila),ioxinil (benzonitrila)
Touchdown,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,glifosato-sal de potássio (glicina substituida),glifosato-sal de potássio (glicina substituida)
Tractor,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"picloram (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Tricea,Dow Agrosciences Industrial Ltda. - Sao Paulo,pyroxsulam (triazolopirimidina sulfonanilida),pyroxsulam (triazolopirimidina sulfonanilida)
Triclon,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Triclopir CCAB 480 EC,CCAB Agro S.A. – Sao Paulo,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Triclopyr 480 Volagro,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Trifluralina Atanor 445 EC,Albaugh Agro Brasil Ltda.- Sao Paulo,trifluralina (dinitroanilina),trifluralina (dinitroanilina)
Trifluralina H Nortox,Nortox S.A. - Arapongas,hexazinona (triazinona) and trifluralina (dinitroanilina),hexazinona (triazinona) and trifluralina (dinitroanilina)
Trifluralina Milenia,Adama Brasil S.A. - Londrina,trifluralina (dinitroanilina),trifluralina (dinitroanilina)
Trifluralina Nortox,Nortox S.A. - Arapongas,trifluralina (dinitroanilina),trifluralina (dinitroanilina)
Trifluralina Nortox Gold,Nortox S.A. - Arapongas,trifluralina (dinitroanilina),trifluralina (dinitroanilina)
Trilla,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,diurom (ureia),diurom (ureia)
Troller,Yonon Biociências e Defensivos Agricolas Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Tronador Ultra,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d (acido ariloxialcanoico)"
Trop,Adama Brasil S.A. - Londrina,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Trop 480 SL,Adama Brasil S.A. - Londrina,glifosato (glicina substituida),glifosato (glicina substituida)
Trop SL,Adama Brasil S.A. - Londrina,glifosato (glicina substituida),glifosato (glicina substituida)
Tropero,Stockton Agrimor do Brasil Ltda.,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Trovati,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Troya,Biesterfeld do Brasil Ind. e Com. de Prod. Químicos Ltda.,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Trueno,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and Fluroxipir-meptilico (Acido piridiniloxialcanoico),aminopiralide (acido piridiniloxialcanoico) and fluroxipir-meptilico (acido piridiniloxialcanoico)
Trueno XT,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico) and Triclopir-butotilico (Acido piridiniloxialcanoico),aminopiralide (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico) and triclopir-butotilico (acido piridiniloxialcanoico)
Trunfo,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Trunker,Dow Agrosciences Industrial Ltda. - Sao Paulo,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Truper,Dow Agrosciences Industrial Ltda. - Sao Paulo,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and Triclopir-butotilico (Acido piridiniloxialcanoico),fluroxipir-meptilico (acido piridiniloxialcanoico) and triclopir-butotilico (acido piridiniloxialcanoico)
Tucson,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"picloram (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Tupan 720 WG,Cropchem Ltda,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Turuna,Stockton Agrimor do Brasil Ltda.,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Twister,FMC Química do Brasil Ltda. - Campinas,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Tyson 750 WG,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
U 46 BR,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"U 46 D-Fluid 2,4_D",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
U 46 Prime,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Ultimato SC,Albaugh Agro Brasil Ltda.- Sao Paulo,Atrazina (triazina),atrazina (triazina)
Ultimato WG,Albaugh Agro Brasil Ltda.- Sao Paulo,Atrazina (triazina),atrazina (triazina)
Unimark 480 SC,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,metribuzim (triazinona),metribuzim (triazinona)
Unimark 700 WG,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,metribuzim (triazinona),metribuzim (triazinona)
UP-Stage,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Valeos,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),saflufenacil (pirimidinadiona)
Velpar-K WG,Ouro Fino Química S.A. - Uberaba,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Venture,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Verdict - R,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Verdict Max,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Verdict Mays,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Verdict milho,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Verdict NF,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Verlon,BRA Defensivos Agricolas Ltda. (Piracicaba),"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Vezir,Adama Brasil S.A. - Londrina,imazetapir (imidazolinona),imazetapir (imidazolinona)
Vezir 100,Adama Brasil S.A. - Londrina,imazetapir (imidazolinona),imazetapir (imidazolinona)
Vezir WG,Adama Brasil S.A. - Londrina,imazetapir (imidazolinona),imazetapir (imidazolinona)
Viance,Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Viper,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,tebutiurom (ureia),tebutiurom (ureia)
Visor 240 EC,Dow Agrosciences Industrial Ltda. - Sao Paulo,tiazopir (acido piridinocarboxilico),tiazopir (acido piridinocarboxilico)
Volcane,Luxembourg Brasil Comércio de Produtos Químicos Ltda,MSMA (organoarsenico),msma (organoarsenico)
Volpe,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
